avgRoomPerimeter,rotError.numSamples.mean
1364.92084998,4854.31818182
2504.05291544,2208.2
397.608743609,533.736842105
158.574001973,281.035714286
635.88614888,375.75
108.968542951,2982.96296296
1528.34984877,4729.04166667
759.248936383,2494.54545455
907.63600807,1109.95652174
529.397177254,244.540540541
720.429585269,830.8
443.595373769,180.0
231.338538533,450.733333333
655.562672363,456.135135135
162.29472605,628.1
1446.42707976,954.971428571
1054.23420007,914.034482759
539.066583437,2059.76470588
99.2869208384,8438.2173913
252.355785617,1611.28571429
191.722481992,6025.96969697
379.091758694,4245.57692308
262.262352826,2369.74358974
191.601876363,11003.8461538
294.819744545,2018.0
252.559291854,8121.34782609
632.972242461,2459.1
707.007128463,2825.15384615
152.416788175,898.038461538
511.089909024,845.545454545
855.595083334,908.161290323
3522.51982697,6648.12
345.9363477,2004.73076923
650.998139899,1650.23076923
120.176589697,1444.0
264.066070953,4167.25714286
462.675505543,160.676470588
381.143373035,1054.375
758.966768091,1731.48
1344.71238759,1206.76923077
351.259423682,6763.84615385
575.918221531,4317.96153846
973.132170798,1501.82608696
557.871193445,1183.46153846
1503.33670222,4219.69230769
774.553634232,3851.77777778
555.98246505,2071.29032258
2161.19207626,3696.67567568
1410.68850812,1492.89285714
2284.5563757,3379.41666667
511.212845367,655.766666667
630.752429175,619.76
894.483397546,1611.27777778
1099.36562113,3842.36
630.451496107,1278.8
1194.83545134,2906.77777778
1792.08753811,1697.56410256
525.16858287,1119.77419355
391.018440217,581.0
645.16136179,510.341463415
2075.92330798,1266.60714286
1164.69698299,1420.46666667
248.223687618,3455.96666667
874.059231919,754.666666667
470.90808455,2924.18181818
527.296427239,407.793103448
844.944967104,2267.29166667
219.335679185,1168.5
558.011810887,609.074074074
288.41201767,4291.20833333
1406.85593365,1209.07692308
682.400594462,461.08
2023.67071564,1971.81578947
112.337263592,8361.53846154

5-Fold RMSE:,2101.73943984,1683.99143191,3660.18943488,2122.46366389,2122.46366389
Average 5-Fold RMSE:,2270.39614372

5-Fold rsquared:,-0.12980251146,-0.299876275523,-0.0816715102965,-0.0602766880595,-0.0602766880595
Average 5-Fold rsquared:,-0.136095297028
