radius,rotError.numSamples.std
14,5234.2224285
18,1068.57195671
15,257.853455343
6,141.850142792
11,182.929460449
19,3510.04999446
20,3935.77212331
19,4927.43898941
20,363.803157271
16,147.306005198
14,2626.374729
10,108.084781537
10,1084.0791156
13,183.153742003
9,273.731419461
10,642.991734482
20,736.775631788
19,1510.28589149
21,14727.7449601
16,2308.33572565
40,9784.61316845
22,8108.00744572
11,2866.01159506
16,25803.4507764
9,2219.38941949
14,8919.29941979
12,1725.55951023
23,3228.66340734
22,308.046732032
19,701.623265043
17,12253.024445
18,5103.87888822
23,12190.977691
28,10206.0904135
21,1947.88730019
22,4006.02426321
8,189.939449112
17,338.663728636
18,4015.83521781
12,968.189122803
20,5532.41528027
26,1328.17120275
17,4913.35122961
22,897.213776087
20,12782.2996962
20,15884.6134701
14,3217.32940007
20,4350.15152402
14,1687.4634671
16,2927.87105563
16,383.599850828
12,379.749169978
17,1917.94562562
23,2174.75877982
18,1102.42140417
16,2925.49410622
14,3355.85891523
23,490.102011085
15,175.644666554
14,473.088895362
4,617.028443908
16,1136.24840985
19,4289.42952164
14,803.781894131
19,1881.63948857
13,316.936671506
18,2151.72678867
15,6754.77336762
18,350.849437575
29,3895.98161441
16,9293.22106863
20,257.78020405
15,1433.91482635
27,4998.19879432
