perimeter,transError.std.mean
919.385854688,0.597974409091
845.094809668,0.3833542
400.830204991,0.198447578947
104.798400009,0.12269
297.255462487,0.153758035714
175.184877189,0.443964518519
975.710287307,0.531760416667
661.864870045,0.402073772727
461.959330453,0.30601326087
301.700928702,0.133319189189
395.362041332,0.194677542857
266.76921056,0.11035772
190.183623926,0.139761666667
384.28900186,0.178360027027
169.305586218,0.2198439
547.895428741,0.243437428571
663.883925852,0.256086724138
569.465956684,0.338521882353
277.253593842,0.583932391304
186.385475943,0.325802619048
266.853191731,0.59423269697
251.520417083,0.577431384615
217.978099666,0.38375874359
413.568733758,0.698436384615
161.46910584,0.3659623
333.320883456,0.690604043478
348.726342602,0.404276533333
582.414195881,0.441453846154
416.287346717,0.237735884615
602.450956601,0.225124575758
625.529006956,0.256219483871
1411.67024864,0.65674012
687.006424965,0.358577384615
804.802666284,0.362996384615
325.157616123,0.287370933333
394.105092531,0.50726
254.907573617,0.0964399411765
512.058047582,0.236416833333
574.390274931,0.35981112
577.749460923,0.273577115385
462.202334131,0.702296269231
542.151199633,0.558222807692
607.353417602,0.282527217391
895.078361009,0.292004974359
810.652971073,0.441571769231
791.247099826,0.501131740741
523.504495381,0.346335935484
642.501394841,0.466183297297
438.695516966,0.309707785714
921.061208435,0.503770083333
425.51985706,0.218116833333
383.553654629,0.1932868
611.004216827,0.310407555556
1094.05395026,0.50208644
396.724658884,0.29558275
623.982104305,0.442420407407
673.355919531,0.337067487179
614.642509546,0.286365322581
383.053807066,0.19540578125
377.554649486,0.171382926829
798.372831181,0.327402357143
541.589338691,0.287927933333
479.641424654,0.466749133333
562.534496366,0.224714148148
398.050280897,0.483949818182
346.945664463,0.153626448276
629.847164937,0.380862583333
243.197749682,0.2900733125
431.988152916,0.203370592593
476.307895935,0.522405666667
609.954365264,0.237020576923
446.124179764,0.17280424
1033.37498647,0.366907921053
383.710764507,0.789124346154

5-Fold RMSE:,0.14202374133,0.156915339211,0.156932526403,0.140298743423,0.140298743423
Average 5-Fold RMSE:,0.157016848016

5-Fold rsquared:,-0.100905486877,0.182005790471,-0.264605318053,-0.024206362018,-0.024206362018
Average 5-Fold rsquared:,-0.0373231337211
