topology_std_katz_centrality,rotError.mean.mean
0.0387865986683,0.0160152777778
0.0530163414747,0.0361834583333
0.0358111856313,0.0081227826087
0.0506179618926,0.00518106666667
0.0370978935435,0.00745268421053
0.0184651276566,0.00380332142857
0.0653190067095,0.00530514285714
0.0504062668326,0.0113298387097
0.0625156345542,0.0100377916667
0.0388418335422,0.00991973913043
0.0395175482926,0.00654347826087
0.0371844136274,0.00574740540541
0.0329104586004,0.0063216
0.0470111349754,0.00609472
0.0490530355055,0.00695146666667
0.0680701689278,0.00522869444444
0.0500539590932,0.00419643333333
0.0686054740205,0.00586774285714
0.032395127214,0.0080334137931
0.0239938583583,0.00957582352941
0.047552149884,0.0118060833333
0.0560533106338,0.00680830434783
0.0595870605781,0.0128010294118
0.0665161870029,0.0102644642857
0.0631969735004,0.0246713571429
0.0343501102959,0.007418
0.0586605327873,0.00877191176471
0.0509329526464,0.00719391304348
0.0697491703081,0.0116620333333
0.0415496602463,0.0221704705882
0.023963572233,0.00773861904762
0.0415899045816,0.0076692173913
0.0447742735529,0.0124832272727
0.0458339228496,0.0090522
0.0303695030845,0.0147335925926
0.049173358584,0.0128114
0.0440867661807,0.0131788235294
0.0346914349788,0.0105658125
0.0441262535518,0.00586613043478
0.0363263127109,0.0116517083333
0.0327402912611,0.010821
0.0482392301694,0.00736969230769
0.0281128168704,0.012007125
0.0343000566012,0.00962695454545
0.0447871510946,0.0105803333333
0.0296030675798,0.0089074
0.0522435943348,0.0112168965517
0.0365337137694,0.0137696
0.0454501425725,0.0132841714286
0.040361653923,0.0079603902439
0.0528229880672,0.0102650357143
0.0273936875411,0.0086655
0.0456512079203,0.0111931666667
0.0578577906099,0.00875566666667
0.0395871278775,0.00787177777778
0.0352676352131,0.0083908
0.052747219677,0.0134036428571
0.0455697766838,0.0111335666667
0.0313893001367,0.00665304761905
0.0283957294271,0.0100887741935
0.0395253805847,0.0114415
0.0426244761908,0.0108286829268
0.0375295099882,0.00525488888889
0.0310919217409,0.0074369
0.0348802179017,0.01176809375
0.036060369536,0.00650085185185
0.0596202838132,0.0117556666667
0.0681206797005,0.00662575862069
0.0517742245605,0.0114198846154
0.0545557900803,0.00779974285714
0.0448375412368,0.00717885185185
0.0528453814189,0.00862746428571
0.0539921295437,0.00584372
0.0505610093885,0.0060295

5-Fold RMSE:,0.00216180289421,0.00501798695257,0.00309818073125,0.00805841098821,0.00805841098821
Average 5-Fold RMSE:,0.00437136823935

5-Fold rsquared:,-0.070731759613,-0.120052758956,-0.20549894719,-0.0339015968185,-0.0339015968185
Average 5-Fold rsquared:,-0.124885732913
