voronoi_numTerminalPoints,rotError.std.mean
117,0.0134886818182
82,0.00848306666667
82,0.00990715789474
31,0.00666489285714
48,0.00854714285714
92,0.0154531111111
189,0.0139629166667
136,0.0142382727273
76,0.00927660869565
59,0.00886394594595
57,0.0103236571429
39,0.00831244
42,0.0120980666667
60,0.00902981081081
41,0.0070672
36,0.00862697142857
108,0.0107663448276
135,0.0146358235294
107,0.0153069130435
63,0.00836128571429
168,0.0141560606061
85,0.0130143076923
95,0.0213154358974
154,0.0118386923077
70,0.0129007
65,0.0117434782609
43,0.0171069
119,0.0201348076923
110,0.00883107692308
137,0.00979857575758
138,0.0108434193548
97,0.01273672
224,0.0201676538462
204,0.0242387692308
145,0.0134642666667
171,0.0164263142857
40,0.008347
108,0.0136369583333
112,0.0145126
54,0.0110901538462
153,0.0162626538462
117,0.0139900769231
66,0.0113885652174
105,0.00808025641026
137,0.0127977692308
131,0.0142507037037
93,0.0175852258065
85,0.0131790810811
87,0.0140931785714
125,0.013008
72,0.0124418666667
88,0.01217428
74,0.0113095
125,0.01085984
87,0.013217275
112,0.0138498148148
68,0.00906033333333
95,0.0113865483871
87,0.01360234375
85,0.0114615121951
9,0.00809121428571
62,0.0116139666667
125,0.0140091666667
72,0.0103575555556
118,0.0173899090909
64,0.0105403103448
108,0.0152154583333
126,0.00999909375
111,0.00975977777778
220,0.0581752916667
94,0.00897219230769
118,0.00749868
106,0.00801097368421
309,0.0207175

5-Fold RMSE:,0.00341457181973,0.00459648470047,0.00289368645565,0.00270220442224,0.00270220442224
Average 5-Fold RMSE:,0.00489273839309

5-Fold rsquared:,0.611439523723,0.0761283943435,-1.67873371393,0.168174991845,0.168174991845
Average 5-Fold rsquared:,-0.148220188932
