voronoi_traversal_rotation,rotError.mean.std
383.11155342,0.00314194787486
299.224987726,0.000529720236435
226.003670468,0.00274200687267
65.6201458925,0.000868010041646
119.373687987,0.000988470995105
298.40968252,0.00396421114784
531.828197886,0.00305267434636
350.187357947,0.00323725683059
194.123703961,0.00162224709611
136.791651053,0.00122251686463
142.527427016,0.00481593435646
93.9540558552,0.00139556645188
112.722731226,0.00295561424787
163.845822573,0.000970277349218
166.514228449,0.00087903722649
99.3153433059,0.00234359606884
294.725708146,0.00196300121238
393.873036041,0.00475371639426
463.90477356,0.00347532974758
189.655868233,0.00196074084985
493.115537244,0.00290945535533
273.909081263,0.0031687609811
291.098597003,0.00691864528074
247.053934824,0.00176297243951
212.580961906,0.00288446249643
255.161221325,0.00193137045088
154.379223345,0.00350567334933
321.530644611,0.00189316660463
403.087870914,0.00409306542765
425.021775933,0.0021898122043
293.121426335,0.00268365863701
593.843879979,0.00416085194839
538.679861002,0.00454871802084
459.10700613,0.00641385431356
473.944548731,0.00357712486121
144.966338136,0.00149199568169
350.705972495,0.00373159733983
311.405157352,0.00227211409784
166.199693564,0.00284573492967
453.205692733,0.00416717640221
263.788701522,0.00429998156474
198.358452797,0.00262143524665
282.992600807,0.0015716058183
384.492596967,0.00295077555546
404.099217031,0.00347412036809
235.588634426,0.00393376291854
229.212945534,0.00199420279203
184.662743682,0.00317220657184
355.377918967,0.00212895982035
171.74666032,0.00283126115696
224.47594753,0.00452986510634
167.825668593,0.00169591170353
307.207591809,0.00167382816322
239.186424328,0.00380101619562
276.832203798,0.00567736820441
226.516662992,0.00200585427637
261.569459102,0.00290650421563
231.322208878,0.00604227499064
190.252000937,0.00633767378436
19.7037549351,0.00090005519672
181.358181073,0.00296056940863
329.711625302,0.00379557550738
186.04419983,0.0018376947053
342.429442135,0.00342684333818
154.630366434,0.0018378217927
356.5562977,0.0038392713065
344.249370086,0.00265952798602
271.307075133,0.00290145318257
273.749097052,0.00273066403156
327.830406313,0.00140772643706
288.227981357,0.00163527502515

5-Fold RMSE:,0.00124880224056,0.0015952415887,0.00120683682091,0.00142618756812,0.00142618756812
Average 5-Fold RMSE:,0.00130799142466

5-Fold rsquared:,0.0738384508586,0.000217740772763,-0.461017438674,0.0764374545367,0.0764374545367
Average 5-Fold rsquared:,-0.0188701195891
