voronoi_traversal_rotation,transError.std.std
383.11155342,0.226872799473
299.224987726,0.0888341978949
226.003670468,0.0536568207547
65.6201458925,0.0531756045959
119.373687987,0.0388866547706
298.40968252,0.156091446153
531.828197886,0.204774691356
350.187357947,0.189473879231
194.123703961,0.0429963941514
136.791651053,0.0500640527086
142.527427016,0.160692173355
93.9540558552,0.0364422115207
112.722731226,0.115579807708
163.845822573,0.0365550743802
166.514228449,0.0491585794691
99.3153433059,0.0890782760547
294.725708146,0.0933187599678
393.873036041,0.138087316178
463.90477356,0.258353516079
189.655868233,0.0779121061829
493.115537244,0.259494989064
273.909081263,0.214149069586
291.098597003,0.160472378798
247.053934824,0.578481679757
212.580961906,0.14193715639
255.161221325,0.390698889866
154.379223345,0.145785206544
321.530644611,0.0540020208264
403.087870914,0.0639730578518
425.021775933,0.0642383791162
293.121426335,0.258741211908
593.843879979,0.131888311652
538.679861002,0.126072926139
459.10700613,0.124697260981
473.944548731,0.192108034661
144.966338136,0.0517409309399
350.705972495,0.150426578073
311.405157352,0.141387393986
166.199693564,0.0819226964463
453.205692733,0.284322556163
263.788701522,0.268748777682
198.358452797,0.0698040570684
282.992600807,0.0777311359681
384.492596967,0.221015525555
404.099217031,0.170190402896
235.588634426,0.10685390071
229.212945534,0.237490765274
184.662743682,0.110170635227
355.377918967,0.172007018126
171.74666032,0.0621497895481
224.47594753,0.110615023941
167.825668593,0.126944549297
307.207591809,0.109794391941
239.186424328,0.0809823194632
276.832203798,0.12386252947
226.516662992,0.0966363792344
261.569459102,0.064450068138
231.322208878,0.0692099506632
190.252000937,0.075847820682
19.7037549351,0.113532147819
181.358181073,0.129796983767
329.711625302,0.192206970562
186.04419983,0.105334107197
342.429442135,0.145524364411
154.630366434,0.0596299714663
356.5562977,0.130217601143
344.249370086,0.0974594238893
271.307075133,0.0743403423368
273.749097052,0.168709916846
327.830406313,0.0562958637779
288.227981357,0.116143743091

5-Fold RMSE:,0.0548886432382,0.141272523138,0.0398597039709,0.0908294699629,0.0908294699629
Average 5-Fold RMSE:,0.0772290250229

5-Fold rsquared:,-0.118082409296,0.389646927447,0.206822307474,-0.160161138945,-0.160161138945
Average 5-Fold rsquared:,-0.117416248794
