numRooms,transError.std.mean
31,0.79363175
33,0.9712675
19,0.660006
24,0.553814
30,0.679647
37,0.695845
49,0.6465805
20,0.64506525
21,8.99611
25,11.1858156667
34,4.032134
35,0.868578333333
79,0.980527
20,0.931125666667
19,0.68123
22,0.7183785
24,1.188382
25,1.285796
36,1.247364
35,2.102963
48,1.003049
35,1.010814
40,1.3055026
34,13.7854806667
15,8.904198
22,5.65513066667
26,1.8947556
45,2.71848344444
50,1.921542
23,2.705434
27,28.104709
42,2.8970098
46,11.9478155
17,4.520748
43,9.020481
65,2.112467
25,1.77265025

5-Fold RMSE:,3.79160077751,3.05287316825,6.00697837951,3.16519720725,3.16519720725
Average 5-Fold RMSE:,5.08718798959

5-Fold rsquared:,-0.162069880028,-0.256487017058,0.0567347401759,-0.296369161036,-0.296369161036
Average 5-Fold rsquared:,-44.7212094039
