topology_avg_katz_centrality,rotError.mean.std
0.177783461173,0.0055707192085
0.173718373605,0.005774
0.225837365907,0.00612134232338
0.197191271315,0.005801
0.17256521982,0.010443
0.156033511459,0.0
0.137439770012,0.0071645
0.221789361423,0.004242387086
0.213572373485,0.454829
0.194739301254,0.585340681631
0.168023315729,0.0
0.165392862514,0.00592653260066
0.164520601552,0.0
0.22139266437,0.00493682941438
0.226325241251,0.000363
0.222462593068,1e-05
0.197164987585,0.0232285
0.200394557396,0.0
0.159984669078,0.012573
0.162992923157,0.0
0.13687879313,0.0029735
0.17493981875,0.00940442351001
0.153835261752,0.0173000462265
0.576851478367,0.389879276934
0.255507311148,0.0
0.217728809152,0.370803851292
0.184491558962,0.0154836093337
0.140375197828,0.0414718190067
0.137896297217,0.2579585
0.205673933659,0.0264565
0.187006207323,0.0
0.151720774244,0.0619982553142
0.139000400145,0.370025
0.23768993686,0.0
0.152012508979,0.1258145
0.122273092524,0.0
0.194677300978,0.00653480410475

5-Fold RMSE:,0.176611443493,0.141284642436,0.200210692214,0.134898556015,0.134898556015
Average 5-Fold RMSE:,0.155602090913

5-Fold rsquared:,-791.072919589,0.12834032789,-25.5329995782,-0.0386509233276,-0.0386509233276
Average 5-Fold rsquared:,-163.477445333
