voronoi_numBifurcationPoints,transError.mean.std
125,0.0268714999802
117,0.08188
135,0.0386996817124
81,0.195896
121,0.00292
111,0.0
145,0.1233725
66,0.0698618482453
62,4.9228345
134,9.61954530971
126,0.0
123,0.156519499397
324,0.0
82,0.277745542295
13,0.448678
68,0.347259
93,0.354833
146,0.0
148,0.0584935
141,0.0
93,0.321336
137,0.477166622112
155,0.255518043365
145,3.45614803464
52,0.0
58,3.87716082459
107,0.596664793933
195,2.23653723722
119,0.1633645
159,0.9678625
94,0.0
160,2.54792806727
214,6.6343885
49,0.0
131,5.7450325
268,0.0
92,0.15450226646

5-Fold RMSE:,1.68569703379,1.23275161489,1.45934222117,2.43811263596,2.43811263596
Average 5-Fold RMSE:,2.12348943544

5-Fold rsquared:,-59.5733896107,-0.811973854439,-15.4678818302,-2.99914717829,-2.99914717829
Average 5-Fold rsquared:,-15.8123585346
